ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD,DURACIÓN_RESTANTE_CONTRATO,"CALIDAD_CONECTIVIDAD (0=BAJA, 0.5=MEDIA, 1=ALTA)",ZONA_NUM,OPERADOR_NUM,PROYECTO_NUM,MUNICIPIO_NUM,ESTADO_NUM
12.0,2032-12-01,5.6065,-73.48361111,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.615291,-73.455246,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.631929,-73.409202,2797,0.5,0,1,1,15,0
15.0,2032-12-01,5.641633539,-73.45028654,2797,0.5,0,1,1,15,0
12.0,2032-12-01,5.650833,-73.483056,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.633628,-73.424551,2797,0.5,0,1,1,15,1
12.0,2032-12-01,5.684999216,-73.38408994,2797,0.5,0,1,1,15,0
12.0,2032-12-01,5.58495564,-73.49445696,2797,0.5,0,1,1,15,1
12.0,2032-12-01,6.516457346,-72.52621045,2797,0.5,0,1,1,16,0
12.0,2032-12-01,6.551389,-72.446944,2797,0.5,0,1,1,16,0
12.0,2032-12-01,6.573923,-72.491416,2797,0.5,0,1,1,16,0
12.0,2032-12-01,6.613333,-72.474167,2797,0.5,0,1,1,16,0
15.0,2032-12-01,6.537858432,-72.52888582,2797,0.5,0,1,1,16,0
15.0,2032-12-01,6.603333,-72.484167,2797,0.5,0,1,1,16,0
15.0,2032-12-01,6.576048781,-72.46910186,2797,0.5,0,1,1,16,0
12.0,2032-12-01,6.176715803,-72.49498527,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.175772,-72.487152,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.169167,-72.494167,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.151389,-72.427222,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.16333,-72.48606,2797,0.5,0,1,1,17,1
12.0,2032-12-01,5.92,-72.389167,2797,0.5,0,1,1,17,0
12.0,2032-12-01,5.939722,-72.4275,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.189945606,-72.47061959,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.241437142,-72.49745991,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.169716,-72.480152,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.201842911,-72.46700281,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.148611,-72.480556,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.157222,-72.472222,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.2075,-72.5225,2797,0.5,0,1,1,17,0
12.0,2032-12-01,6.186389,-72.4725,2797,0.5,0,1,1,17,0
12.0,2032-12-01,5.9475,-72.432778,2797,0.5,0,1,1,17,0
18.0,2032-12-01,5.954448251,-72.37046283,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.151111,-72.481667,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.07011355,-72.51632934,2797,0.5,0,1,1,17,1
12.0,2032-12-01,6.039222728,-73.407548,2797,0.5,0,1,1,18,0
12.0,2032-12-01,5.996926,-73.400178,2797,0.5,0,1,1,18,0
15.0,2032-12-01,5.971872646,-73.43128008,2797,0.5,0,1,1,18,0
12.0,2032-12-01,6.005388,-73.43391,2797,0.5,0,1,1,18,0
12.0,2032-12-01,5.970482,-73.45754,2797,0.5,0,1,1,18,1
12.0,2032-12-01,6.012815,-73.467596,2797,0.5,0,1,1,18,1
12.0,2032-12-01,5.532365715,-73.28473186,2797,0.5,0,1,1,19,1
12.0,2032-12-01,5.611095,-73.238564,2797,0.5,0,1,1,19,0
12.0,2032-12-01,5.566056503,-73.29008564,2797,0.5,0,1,1,19,0
12.0,2032-12-01,5.549269406,-73.29881827,2797,0.5,0,1,1,19,0
12.0,2032-12-01,4.88428404,-73.38601522,2797,0.5,0,1,1,20,0
12.0,2032-12-01,4.857521052,-73.36064422,2797,0.5,0,1,1,20,0
12.0,2032-12-01,4.863689805,-73.36508786,2797,0.5,0,1,1,20,0
12.0,2032-12-01,4.900032503,-73.36244309,2797,0.5,0,1,1,20,0
18.0,2032-12-01,5.382778,-73.308889,2797,0.5,0,1,1,21,1
12.0,2032-12-01,5.373352,-73.306397,2797,0.5,0,1,1,21,1
12.0,2032-12-01,5.410184,-73.270217,2797,0.5,0,1,1,21,0
15.0,2032-12-01,5.696662134,-73.27634515,2797,0.5,0,1,1,22,1
12.0,2032-12-01,5.662445484,-73.34463568,2797,0.5,0,1,1,22,0
12.0,2032-12-01,5.661038,-73.291591,2797,0.5,0,1,1,22,1
12.0,2032-12-01,5.628122,-73.30398,2797,0.5,0,1,1,22,0
12.0,2032-12-01,5.69464,-73.34794,2797,0.5,0,1,1,22,1
15.0,2032-12-01,5.69625751,-73.31010883,2797,0.5,0,1,1,22,1
12.0,2032-12-01,5.730928,-73.35462,2797,0.5,0,1,1,22,0
12.0,2032-12-01,5.680529388,-73.2995211,2797,0.5,0,1,1,22,0
15.0,2032-12-01,5.64621756,-73.30732573,2797,0.5,0,1,1,22,1
12.0,2032-12-01,5.671392258,-73.28181791,2797,0.5,0,1,1,22,0
15.0,2032-12-01,5.66358644,-73.3393601,2797,0.5,0,1,1,22,1
15.0,2032-12-01,5.71436,-73.33197,2797,0.5,0,1,1,22,0
12.0,2032-12-01,5.525387588,-74.00649878,2797,0.5,0,1,1,23,1
12.0,2032-12-01,5.451933627,-74.0209897,2797,0.5,0,1,1,23,0
12.0,2032-12-01,5.812517629,-72.83421905,2797,0.5,0,1,1,24,0
12.0,2032-12-01,6.471685,-72.718905,2797,0.5,0,1,1,25,1
12.0,2032-12-01,6.523164147,-72.74381175,2797,0.5,0,1,1,25,1
12.0,2032-12-01,6.5582029,-72.79673632,2797,0.5,0,1,1,25,0
12.0,2032-12-01,6.516141048,-72.71202548,2797,0.5,0,1,1,25,0
12.0,2032-12-01,6.496822204,-72.73248884,2797,0.5,0,1,1,25,0
12.0,2032-12-01,6.5625277777778,-72.77025,2797,0.5,0,1,1,25,1
12.0,2032-12-01,7.005160163,-71.96956287,2797,0.5,0,1,1,26,0
12.0,2032-12-01,6.931396872,-71.99664113,2797,0.5,0,1,1,26,0
12.0,2032-12-01,6.965851467,-71.97960419,2797,0.5,0,1,1,26,0
12.0,2032-12-01,7.008872122,-72.02452842,2797,0.5,0,1,1,26,0
12.0,2032-12-01,6.99999174,-71.9925247,2797,0.5,0,1,1,26,0
15.0,2032-12-01,6.97094564,-72.09034768,2797,0.5,0,1,1,26,0
15.0,2032-12-01,7.027003615,-72.20084648,2797,0.5,0,1,1,26,0
12.0,2032-12-01,6.968801999,-72.12237185,2797,0.5,0,1,1,26,0
18.0,2032-12-01,6.91928714,-72.11495541,2797,0.5,0,1,1,26,0
12.0,2032-12-01,5.541667,-73.426944,2797,0.5,0,1,1,27,0
12.0,2032-12-01,5.524722,-73.433611,2797,0.5,0,1,1,27,0
12.0,2032-12-01,5.604043,-72.916229,2797,0.5,0,1,1,28,0
12.0,2032-12-01,5.57557,-72.961534,2797,0.5,0,1,1,28,0
12.0,2032-12-01,6.414722,-72.409444,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.358333,-72.461944,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.339781681,-72.41722681,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.376687122,-72.4186188,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.3939977,-72.42018924,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.390678352,-72.40709031,2797,0.5,0,1,1,29,0
12.0,2032-12-01,6.400278,-72.443333,2797,0.5,0,1,1,29,0
18.0,2032-12-01,6.532104187,-72.48534299,2797,0.5,0,1,1,30,0
12.0,2032-12-01,6.529722,-72.473333,2797,0.5,0,1,1,30,0
12.0,2032-12-01,5.713108,-72.948215,2797,0.5,0,1,1,31,0
12.0,2032-12-01,5.704809705,-72.97233619,2797,0.5,0,1,1,31,0
12.0,2032-12-01,5.654851,-73.062221,2797,0.5,0,1,1,31,0
15.0,2032-12-01,5.655014,-73.065008,2797,0.5,0,1,1,31,0
12.0,2032-12-01,5.83931564,-72.93795298,2797,0.5,0,1,1,32,1
12.0,2032-12-01,5.859071,-72.942732,2797,0.5,0,1,1,32,1
12.0,2032-12-01,5.74022,-73.56939,2797,0.5,0,1,1,33,0
12.0,2032-12-01,5.76078435,-73.56927433,2797,0.5,0,1,1,33,1
12.0,2032-12-01,5.77975016,-73.54272102,2797,0.5,0,1,1,33,1
12.0,2032-12-01,5.72394,-73.51989,2797,0.5,0,1,1,33,0
12.0,2032-12-01,5.77944883,-73.51379631,2797,0.5,0,1,1,33,1
15.0,2032-12-01,5.713146,-73.540203,2797,0.5,0,1,1,33,1
12.0,2032-12-01,5.788333,-72.777222,2797,0.5,0,1,1,34,1
12.0,2032-12-01,5.820565682,-72.78653903,2797,0.5,0,1,1,34,0
15.0,2032-12-01,5.795945991,-72.77919817,2797,0.5,0,1,1,34,1
12.0,2032-12-01,5.778889,-72.728889,2797,0.5,0,1,1,34,0
15.0,2032-12-01,5.106775193,-73.260439871,2797,0.5,0,1,1,35,0
12.0,2032-12-01,5.036251717,-73.3884973,2797,0.5,0,1,1,35,1
12.0,2032-12-01,5.042821897,-73.3794267,2797,0.5,0,1,1,35,1
12.0,2032-12-01,6.445466,-72.488683,2797,0.5,0,1,1,36,0
12.0,2032-12-01,6.434105724,-72.54641908,2797,0.5,0,1,1,36,0
12.0,2032-12-01,5.012050905,-73.48939554,2797,0.5,0,1,1,37,0
12.0,2032-12-01,4.994722,-73.459444,2797,0.5,0,1,1,37,0
12.0,2032-12-01,4.999320788,-73.49762848,2797,0.5,0,1,1,37,0
12.0,2032-12-01,4.991711272,-73.49423267,2797,0.5,0,1,1,37,0
12.0,2032-12-01,4.97,-73.489444,2797,0.5,0,1,1,38,0
12.0,2032-12-01,4.93583,-73.48475,2797,0.5,0,1,1,38,1
12.0,2032-12-01,4.969722,-73.473056,2797,0.5,0,1,1,38,1
12.0,2032-12-01,6.425833,-72.369444,2797,0.5,0,1,1,39,0
12.0,2032-12-01,6.422778,-72.370556,2797,0.5,0,1,1,39,0
12.0,2032-12-01,6.366944,-72.31,2797,0.5,0,1,1,39,0
12.0,2032-12-01,6.4625,-72.409722,2797,0.5,0,1,1,39,0
12.0,2032-12-01,6.464901221,-72.43591733,2797,0.5,0,1,1,39,0
12.0,2032-12-01,6.463889,-72.408889,2797,0.5,0,1,1,39,0
12.0,2032-12-01,5.608731,-72.996886,2797,0.5,0,1,1,40,0
12.0,2032-12-01,5.326389,-73.336667,2797,0.5,0,1,1,41,0
12.0,2032-12-01,5.344536,-73.348989,2797,0.5,0,1,1,41,0
15.0,2032-12-01,5.402437621,-73.35554118,2797,0.5,0,1,1,41,0
12.0,2032-12-01,5.394342,-73.40945,2797,0.5,0,1,1,41,0
12.0,2032-12-01,5.349982,-73.346283,2797,0.5,0,1,1,41,0
15.0,2032-12-01,5.411703,-73.413117,2797,0.5,0,1,1,41,0
12.0,2032-12-01,5.398192662,-73.38955796,2797,0.5,0,1,1,41,0
12.0,2032-12-01,5.390958,-73.376883,2797,0.5,0,1,1,41,0
12.0,2032-12-01,6.17466758,-72.57355434,2797,0.5,0,1,1,42,1
15.0,2032-12-01,6.149434361,-72.52607031,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.149434361,-72.52607031,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.118041,-72.59005,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.13980263,-72.55665167,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.141264,-72.592594,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.13550239,-72.54402496,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.10522577,-72.54715482,2797,0.5,0,1,1,42,1
12.0,2032-12-01,6.134514433,-72.58588958,2797,0.5,0,1,1,42,1
12.0,2032-12-01,5.108547211,-73.45930816,2797,0.5,0,1,1,43,1
12.0,2032-12-01,5.083709802,-73.45266302,2797,0.5,0,1,1,43,0
12.0,2032-12-01,6.234821889,-72.53574771,2797,0.5,0,1,1,44,0
12.0,2032-12-01,6.26667849,-72.54355319,2797,0.5,0,1,1,44,1
15.0,2032-12-01,6.246399356,-72.54353322,2797,0.5,0,1,1,44,1
12.0,2032-12-01,5.52711,-74.25953,2797,0.5,0,1,1,45,0
12.0,2032-12-01,5.505695928,-74.24953443,2797,0.5,0,1,1,45,1
15.0,2032-12-01,5.51201683,-72.63932662,2797,0.5,0,1,1,46,0
12.0,2032-12-01,5.602865531,-72.62514581,2797,0.5,0,1,1,46,0
12.0,2032-12-01,5.51201683,-72.63932662,2797,0.5,0,1,1,46,0
12.0,2032-12-01,5.46750178,-72.6250618,2797,0.5,0,1,1,46,0
12.0,2032-12-01,5.017977163,-73.35545958,2797,0.5,0,1,1,47,1
12.0,2032-12-01,4.952779932,-73.305015,2797,0.5,0,1,1,47,1
12.0,2032-12-01,5.00822,-73.24258,2797,0.5,0,1,1,47,1
12.0,2032-12-01,5.635605174,-74.05661466,2797,0.5,0,1,1,48,1
12.0,2032-12-01,5.601150579,-73.98637297,2797,0.5,0,1,1,48,1
12.0,2032-12-01,5.574129247,-73.993010769,2797,0.5,0,1,1,48,1
15.0,2032-12-01,5.588824971,-74.05133226,2797,0.5,0,1,1,48,0
15.0,2032-12-01,5.58391356,-74.06857072,2797,0.5,0,1,1,48,1
12.0,2032-12-01,5.093654669,-73.24694738,2797,0.5,0,1,1,49,1
15.0,2032-12-01,5.21973041,-73.1663717,2797,0.5,0,1,1,49,0
18.0,2032-12-01,5.191034111,-73.11530846,2797,0.5,0,1,1,49,1
12.0,2032-12-01,5.751389,-72.795278,2797,0.5,0,1,1,50,1
12.0,2032-12-01,5.767972,-72.748939,2797,0.5,0,1,1,50,1
12.0,2032-12-01,5.745278,-72.8,2797,0.5,0,1,1,50,1
12.0,2032-12-01,5.75465,-72.768011,2797,0.5,0,1,1,50,0
12.0,2032-12-01,5.695379364,-72.86964691,2797,0.5,0,1,1,51,0
15.0,2032-12-01,5.716963455,-72.83988533,2797,0.5,0,1,1,51,1
15.0,2032-12-01,5.914444,-73.570278,2797,0.5,0,1,1,52,1
12.0,2032-12-01,5.856675,-73.573011,2797,0.5,0,1,1,52,0
15.0,2032-12-01,5.910556,-73.598333,2797,0.5,0,1,1,52,1
12.0,2032-12-01,5.831944,-73.564167,2797,0.5,0,1,1,52,0
12.0,2032-12-01,5.818889,-73.541389,2797,0.5,0,1,1,52,0
15.0,2032-12-01,5.88748564,-73.586008,2797,0.5,0,1,1,52,0
12.0,2032-12-01,5.8845,-73.54497,2797,0.5,0,1,1,52,1
18.0,2032-12-01,5.795353524,-73.6095409,2797,0.5,0,1,1,52,1
15.0,2032-12-01,5.908984684,-73.59771974,2797,0.5,0,1,1,52,1
18.0,2032-12-01,5.8833314488427,-73.572945669293,2797,0.5,0,1,1,52,0
12.0,2032-12-01,5.598850844,-73.38603982,2797,0.5,0,1,1,53,1
12.0,2032-12-01,5.664059973,-73.36978215,2797,0.5,0,1,1,53,1
12.0,2032-12-01,5.588982,-73.382397,2797,0.5,0,1,1,53,1
12.0,2032-12-01,5.5198813,-74.08975647,2797,0.5,0,1,1,54,1
15.0,2032-12-01,5.500417309,-74.12197438,2797,0.5,0,1,1,54,1
12.0,2032-12-01,5.546882234,-74.10476909,2797,0.5,0,1,1,54,0
12.0,2032-12-01,5.551328257,-74.08855247,2797,0.5,0,1,1,54,1
12.0,2032-12-01,5.587880347,-74.10185425,2797,0.5,0,1,1,54,0
12.0,2032-12-01,5.525644355,-74.09902447,2797,0.5,0,1,1,54,0
12.0,2032-12-01,5.560786614,-74.15679541,2797,0.5,0,1,1,54,1
12.0,2032-12-01,5.773889,-72.938056,2797,0.5,0,1,1,55,1
15.0,2032-12-01,5.768056,-72.911944,2797,0.5,0,1,1,55,1
12.0,2032-12-01,5.799597418,-72.98112811,2797,0.5,0,1,1,55,1
12.0,2032-12-01,5.781571,-72.955565,2797,0.5,0,1,1,55,1
12.0,2032-12-01,5.766126,-72.970009,2797,0.5,0,1,1,55,1
12.0,2032-12-01,5.382069974,-73.44435311,2797,0.5,0,1,1,56,1
12.0,2032-12-01,5.335575305,-73.44216401,2797,0.5,0,1,1,56,1
12.0,2032-12-01,5.348900287,-73.47171691,2797,0.5,0,1,1,56,1
12.0,2032-12-01,5.300621023,-73.46636313,2797,0.5,0,1,1,56,1
18.0,2032-12-01,5.369387446,-73.43723852,2797,0.5,0,1,1,56,1
12.0,2032-12-01,5.621264428,-73.26062692,2797,0.5,0,1,1,57,0
12.0,2032-12-01,5.62863775,-73.27333609,2797,0.5,0,1,1,57,1
12.0,2032-12-01,5.631615083,-73.28656305,2797,0.5,0,1,1,57,1
12.0,2032-12-01,5.649526291,-74.24342973,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.730546938,-74.21285366,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.805202527,-74.09596263,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.723646501,-74.28132265,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.780813052,-74.12517052,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.84496371,-74.16762282,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.656667,-74.181667,2797,0.5,0,1,1,58,0
15.0,2032-12-01,5.81031,-74.12164,2797,0.5,0,1,1,58,0
15.0,2032-12-01,5.659167,-74.181111,2797,0.5,0,1,1,58,0
12.0,2032-12-01,5.139418027,-73.39363451,2797,0.5,0,1,1,59,0
12.0,2032-12-01,5.0992325,-73.38231422,2797,0.5,0,1,1,59,1
